id,bt_network_km,bt_spawning_km,bt_rearing_km,ch_spawning_km,ch_rearing_km,utm_zone,utm_easting,utm_northing,mapsheet,watershed_group_code,pscis_assessment_comment,stream_name,observedspp_upstr,my_priority,my_priority_comments,geom,wsc_code,long,lat
12200024,0,0,0,2.03311929999075,2.03311929999075,10,515409,5989806,093J.104,LSAL,NA,NA,BB;C;EB;LKC;LNC;LSU;NSC;RB;RSC,high,CH captured downstream. Crossing is very close to Prince George in residential area. Multiple other CBS upstream. Nice looking stream.,"c(-122.764614999954, 54.0562482990807)",100-593800-03100-20600-0000-0000-000-000-000-000-000-000,-122.76461499995379,54.05624829908075
12202167,0,0,0,1.44216455455048,8.26712280664286,10,496209,5999657,093J.103,LSAL,NA,NA,NA,mod,No fish documented in stream.  Wetland habitat upstream based on aerial imagery. ,"c(-123.058035535431, 54.1450072935464)",100-593800-25800-29500-0000-0000-000-000-000-000-000-000,-123.05803553543139,54.145007293546385
126267,43.1,11,19.4,4.8915556474498,8.36888376845144,10,583374,5911978,093H.106,WILL,NA,Stephanie Cr.,RB,mod,No outlet drop. No target species documented upstream.  Habitat rated as high value during 2014 assessment.  Few CBS upstream.,"c(-121.747464698567, 53.3503601223719)",100-596500-54900-00000-0000-0000-000-000-000-000-000-000,-121.74746469856683,53.35036012237191
126290,503.9,83.2,144.3,26.6735325221611,82.8067962296414,10,537250,5991350,093J.104,WILL,NA,Hay Creek,BB;BMC;BT;CAS;CC;CH;CSU;DV;LDC;LKC;LSU;MW;NSC;PCC;RB;RSC;SP;SU;WSU,high,"CH documented upstream.   Stream drains Eaglet Lake which is a traditional fishing site for first nations,  with all other CBS ranked as passable between this crossing and the lake. ","c(-122.430776408622, 54.0690135808796)",100-596500-03300-00000-0000-0000-000-000-000-000-000-000,-122.43077640862205,54.06901358087962
126316,340.4,69.6,132,35.7206909794048,75.4779568842417,10,551588,5970657,093G.125,WILL,NA,Wansa Creek,CBC;CH;CT;DV;RB;RSC;SP;SU;WF,mod,o outlet drop and culvert has baffles.  CH documented upstream and downstream.  Large watershed with over 75km of CH rearing habitat modelled upstream.  Only one other CSB upstream on mainstem. ,"c(-122.215208638856, 53.8818042225375)",100-596500-15700-00000-0000-0000-000-000-000-000-000-000,-122.21520863885561,53.88180422253752
196051,37.1,7,11.6,2.51739497718087,9.90222696695482,10,526285,5978523,093G.124,TABR,NA,Unnamed,NA,high,No other CBS downstream.  RIght in Prince George.  CH documented downstream in 2010.,"c(-122.599437136129, 53.9544019043184)",100-574400-00000-00000-0000-0000-000-000-000-000-000-000,-122.59943713612857,53.95440190431836
196072,279.5,64.7,102.5,37.6899892634716,56.3762522089201,10,522679,5956610,093G.119,TABR,NA,Cale Creek,CSU;EB;LNC;LSU;MW;NSC;PCC;RB;RSC,high,Ranked as a barrier in 2014 and high value habitat noted.  Large highway crossing.  Close to PG. ,"c(-122.656011428251, 53.7576246771022)",100-553400-00000-00000-0000-0000-000-000-000-000-000-000,-122.65601142825096,53.757624677102186
196085,196.9,33.9,75.3,18.6191104698732,39.163219474316,10,518502,5962002,093G.124,TABR,Fish observed at outlet.,Tabor Creek,BB;C;CSU;DV;EB;LKC;LSU;MW;NSC;PCC;RB;RSC;SB;SP;SU,high,"CH captured ds in 2004.  Fish observed in outlet during 2014 assessment.  Unassessed railway crossing upstream, and several assessed highway crossings. Close to PG.","c(-122.719043219233, 53.8062507021445)",100-559300-00000-00000-0000-0000-000-000-000-000-000-000,-122.71904321923326,53.80625070214445
196151,270.1,60.9,98.1,36.9440137716548,52.0247685821208,10,524160,5957999,093G.119,TABR,Beaver dam at inlet.,Cale Creek,CSU;EB;LSU;MW;NSC;PCC;RB;RSC,high,Ranked as a barrier in 2014 and medium value habitat noted.  Close to PG. Beaver dam noted at inlet.,"c(-122.633447674857, 53.7700363830511)",100-553400-00000-00000-0000-0000-000-000-000-000-000-000,-122.63344767485701,53.770036383051114
196201,20.9,2.8,6.5,0,5.89195143258378,10,521127,5965112,093G.124,TABR,14m fill depth.,Haggith Creek,NA,high,CH documented downstream in 2017. Medium value habitat noted at time of assessment in 2014.  Close to Prince George.  Upstream crossing has 3m wide channel width.,"c(-122.678974341086, 53.8341013796146)",100-560100-00000-00000-0000-0000-000-000-000-000-000-000,-122.67897434108626,53.834101379614594
196207,3.1,1.9,2.7,0,2.07612697202864,10,516996,5972733,093G.124,TABR,Outlet control.,Hudson Bay Slough,LKC;RB,mod,"This crossing is a high priority crossing from hooft2015Fishpassage.  Within the Prince George City limitis. Several other CBS upstream ranked as potential barriers, and 1.8km of habitat modelled upstream. ","c(-122.741312921756, 53.9027501820116)",100-567900-00000-00000-0000-0000-000-000-000-000-000-000,-122.74131292175551,53.90275018201157
